Date,open,high,low,close,volume,sma_20,sma_50,ema_20,rsi,macd,macd_signal
2005-03-04,1394.0,1403.5,1382.0,1392.25,502234,1365.8525,1322.155,1360.4760968474127,62.063601274581494,19.683614709667154,20.66691650297047
2005-03-07,1395.0,1408.0,1394.0,1400.2,457254,1370.175,1325.602,1364.2593257190879,63.73767947344248,20.494646392662844,20.632462480908945
2005-03-08,1404.0,1420.9,1395.35,1413.95,628460,1375.0725,1328.5220000000002,1368.9917708886985,66.49184716857768,21.993378948939835,20.904645774515124
2005-03-09,1409.0,1426.5,1395.05,1407.5,677761,1378.8075000000001,1331.261,1372.6592212802511,64.03491413785319,22.402432901020575,21.204203199816217
2005-03-10,1410.0,1410.0,1390.25,1399.55,287785,1382.1525,1333.065,1375.2202478249892,61.04100448778838,21.8334303517845,21.330048630209873
2005-03-11,1406.0,1434.9,1405.0,1427.45,650718,1384.4375,1335.2089999999998,1380.194509936895,66.89139091308458,23.36445763826009,21.736930431819918
2005-03-14,1428.0,1460.0,1420.0,1451.85,816754,1386.5475,1338.313,1387.0188423238574,70.99379155859225,26.24415756198573,22.63837585785308
2005-03-15,1451.0,1462.0,1430.0,1442.65,518310,1389.6125,1340.457,1392.3170478168233,67.59298860504842,27.467350863343654,23.6041708589512
2005-03-16,1440.0,1467.6,1440.0,1452.05,684177,1393.8075,1342.4330000000002,1398.0059004056975,69.21560702571975,28.862532499868166,24.655843187134593
2005-03-17,1448.0,1473.7,1440.0,1460.95,850666,1397.7625,1344.8270000000002,1404.0005765575359,70.7109130725035,30.336677286320537,25.792010006971783
2005-03-18,1459.0,1472.5,1425.0,1468.7,765433,1402.4475,1347.701,1410.162426409199,71.9869304080897,31.764150526004414,26.986438110778312
2005-03-21,1470.15,1475.0,1444.6,1456.45,544265,1406.9925,1350.4209999999998,1414.57076675118,67.01695220207772,31.543348642269393,27.89782021707653
2005-03-22,1454.8,1457.1,1440.1,1443.55,335554,1410.9975,1352.493,1417.330693727258,62.15079824680033,29.98182752376215,28.314621678413655
2005-03-23,1440.0,1448.0,1413.35,1421.25,429927,1413.3125,1354.369,1417.7039609913288,54.74990142499617,26.637822914974095,27.979261925725744
2005-03-24,1430.0,1438.0,1377.65,1384.35,744322,1414.1325,1355.781,1414.527393277869,45.1657612017037,20.77072160706348,26.537553861993295
2005-03-28,1391.0,1408.85,1384.0,1392.4,462466,1415.55,1357.668,1412.4200224895005,47.33182998729086,16.579451675144128,24.545933424623463
2005-03-29,1395.0,1398.0,1362.2,1370.9,381675,1415.05,1359.228,1408.4657346333577,42.50274681068499,11.3916538461458,21.915077508927933
2005-03-30,1371.1,1400.0,1360.0,1390.55,514407,1416.7050000000002,1361.1109999999999,1406.7594741920857,47.74971939723252,8.76484182802892,19.285030372748132
2005-03-31,1404.5,1445.1,1397.25,1432.05,864330,1419.9075,1364.4869999999999,1409.1680956976015,56.730495081069236,9.917455297275865,17.41151535765368
2005-04-01,1433.0,1457.0,1414.0,1450.95,695334,1422.9775000000002,1368.229,1413.1473246787823,60.09449819456703,12.215172912243816,16.372246868571708
2005-04-04,1452.0,1456.8,1423.3,1427.75,657170,1424.7525,1371.6759999999997,1414.5380556617556,54.49391401597567,12.025462520412475,15.502889998939862
2005-04-05,1429.0,1442.5,1416.1,1425.45,420979,1426.015,1375.3110000000001,1415.5772884558742,53.95704136794583,11.556310931138114,14.713574185379514
2005-04-06,1427.0,1448.0,1427.0,1441.35,244176,1427.385,1379.725,1418.0318324124576,57.1033453005724,12.325422239471663,14.235943796197944
2005-04-07,1441.0,1450.0,1422.0,1425.2,310402,1428.27,1383.52,1418.7145150398426,53.13186343564345,11.499222583727715,13.688599553703899
2005-04-08,1430.7,1434.9,1390.05,1393.55,506535,1427.97,1386.58,1416.3178945598577,46.33121133287532,8.196083564740547,12.590096355911228
2005-04-11,1397.0,1400.0,1360.1,1363.6,352874,1424.7775,1388.0680000000002,1411.297142697014,40.98519466302697,3.12557768302986,10.697192621334954
2005-04-12,1399.0,1399.0,1365.0,1382.0,514087,1421.285,1389.7,1408.5069386306318,45.170942968397945,0.5851462636492215,8.674783349797808
2005-04-13,1394.0,1407.0,1385.55,1401.6,579825,1419.2325,1391.427,1407.849134951524,49.29641572846781,0.15164419702728082,6.970155519243703
2005-04-15,1395.0,1395.0,1315.0,1319.0,1232810,1412.5800000000002,1391.628,1399.3873125751886,36.74764642139535,-6.7788961024289165,4.2203451949091795
2005-04-18,1300.0,1348.7,1291.0,1318.65,753038,1405.465,1391.779,1391.698044710885,36.705009698643515,-12.159474444140187,0.9443812670993061
2005-04-19,1330.0,1348.9,1178.1,1208.7,3404394,1392.465,1389.8239999999998,1374.2696595003245,26.358620065937103,-25.00739793757066,-4.245974573834687
2005-04-20,1200.0,1200.0,1093.3,1116.2,5937282,1375.4524999999999,1385.8729999999998,1349.6915966907695,20.996450424597057,-42.167367649659354,-11.830253188999622
2005-04-21,1125.0,1148.0,1110.0,1142.4,1656542,1360.395,1382.401,1329.9495398630772,25.612416136386386,-53.04122007195497,-20.072446565590692
2005-04-22,1160.0,1171.65,1140.25,1166.75,1619834,1347.67,1379.08,1314.4067265427843,29.72217767226506,-59.01371162706437,-27.860699577885427
2005-04-25,1164.8,1167.9,1148.0,1156.95,860073,1336.3,1375.566,1299.4108478244239,29.027102696485585,-63.80225957904963,-35.04901157811827
2005-04-26,1157.0,1163.8,1134.1,1136.7,692375,1323.5149999999999,1370.665,1283.9145766030501,27.59126209689086,-68.44226427557328,-41.72766211760927
2005-04-27,1141.1,1141.1,1111.0,1115.65,817171,1310.7525,1364.785,1267.889378831331,26.143560574886095,-72.97682904606245,-47.977495503299906
2005-04-28,1115.1,1130.0,1097.15,1114.8,1091109,1296.965,1359.454,1253.3094379902518,26.08404455139697,-75.76571222469556,-53.53513884757904
2005-04-29,1128.8,1144.7,1117.05,1131.1,1383213,1281.9175,1354.7130000000002,1241.670443895942,29.403053697816844,-75.78702283787311,-57.98551564563786
2005-05-02,1150.0,1178.0,1118.1,1128.9,641200,1265.815,1349.654,1230.9304016201381,29.212394757549077,-75.11554798679731,-61.41152211386976
2005-05-03,1130.0,1135.0,1105.35,1108.6,687881,1249.8574999999998,1344.326,1219.279887180125,27.44403454262229,-75.35281928026461,-64.19978154714873
2005-05-04,1106.5,1124.5,1106.5,1120.85,599018,1234.6275,1339.4319999999998,1209.9056122105892,30.190309528693618,-73.70278602836265,-66.10038244339151
2005-05-05,1149.95,1150.0,1125.55,1136.85,811883,1219.4025,1334.9,1202.9479348571997,33.71911541394303,-70.29375386771721,-66.93905672825665
2005-05-06,1140.0,1171.7,1132.15,1167.5,1023583,1206.5175,1330.751,1199.571941061276,39.978270880034835,-64.37677705960232,-66.42660079452578
2005-05-09,1170.0,1182.25,1166.25,1175.25,592380,1195.6025,1326.8970000000002,1197.2555657221067,41.48302390644841,-58.38909691581307,-64.81910001878325
2005-05-10,1178.0,1178.0,1146.25,1152.5,884494,1185.0475000000001,1322.6660000000002,1192.99313089143,38.43675771229119,-54.84730652491476,-62.82474132000955
2005-05-11,1148.0,1152.6,1137.95,1149.1,401661,1173.4025,1318.03,1188.8128327112938,37.98778125157072,-51.71858406452543,-60.60350986891273
2005-05-12,1159.0,1161.7,1143.15,1146.75,451118,1160.6599999999999,1313.816,1184.8068486435516,37.660339028712805,-48.86538459767303,-58.255884814664796
2005-05-13,1149.0,1151.0,1140.15,1148.6,298594,1152.1399999999999,1309.4279999999999,1181.3585773441657,38.11259217136857,-45.925523082644304,-55.7898124682607
2005-05-16,1145.0,1158.9,1142.25,1154.3,721900,1143.9225000000001,1304.723,1178.7815699780547,39.567303892128294,-42.644144139728496,-53.160678802554266
